Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Best_Fit_Distribution,Distribution_DF,Distribution_Type,Fit_Quality,Fit_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
MEWUSD,MEW/USD,0.0018877933425797504,0.001879,2.8339710263858044e-05,0.00183,0.00194,0.00011000000000000007,-0.0003396534431268571,0.0,0.18882549763435819,False,2.477653221414909e-45,student_t,2,fat_tails,poor,2.1835836524024968e-131,20.922934272625092,0.002282775102850704,0.001492811582308797,low,721
PEPEUSD,PEPE/USD,7.06831761442441e-06,7.053e-06,7.55389732586285e-08,6.8e-06,7.229e-06,4.289999999999996e-07,-0.0003405129462599817,0.0,0.21441001210515898,False,4.0991671752455386e-35,normal,,normal,poor,2.0421024264151187e-19,13.383002656905262,8.014270748561332e-06,6.122364480287489e-06,low,721
PONKEUSD,PONKE/USD,0.06290019417475728,0.06257,0.0014967351380103645,0.05996,0.06559,0.005629999999999996,0.004342454562015802,0.0,0.2671294888061771,False,5.728900457887034e-47,student_t,2,fat_tails,poor,3.6746111697622296e-146,29.59945985363896,0.08151831189737552,0.044282076452139045,low,721
POPCATUSD,POPCAT/USD,0.15711747572815535,0.1572,0.003962206842612607,0.1494,0.1641,0.01469999999999999,0.004854872426217199,0.0,0.3025601726081771,False,8.60736890898612e-42,student_t,2,fat_tails,poor,7.033323841967476e-110,33.525380228327386,0.2097917068711694,0.10444324458514127,low,721
TRUMPUSD,TRUMP/USD,8.340794729542303,8.356,0.1301574987166844,8.021,8.672,0.6509999999999998,0.0021347311088847033,0.0,0.32283089528264947,False,4.256596606929815e-21,normal,,normal,poor,2.849956363577185e-07,20.15039636852316,10.021497927829966,6.66009153125464,low,721
ATHUSD,ATH/USD,0.0283275173370319,0.02834,0.00027330247801781186,0.0275,0.02883,0.0013300000000000013,-0.00025730644770061904,0.0,0.2159299393909497,False,3.1423734548869475e-43,student_t,2,fat_tails,poor,2.1886808680874927e-112,23.926259885289436,0.035105232754140576,0.021549801919923225,low,721
NANOUSD,NANO/USD,0.679535628294036,0.680251,0.005868633212112457,0.664706,0.688615,0.023908999999999958,0.0011168944263620147,0.0,0.22960444493854587,False,4.798144505470953e-47,student_t,2,fat_tails,poor,5.488507490238014e-144,25.441472525358986,0.8524194984664887,0.5066517581215833,low,721
RAYUSD,RAY/USD,1.820128987517337,1.822,0.02162171632618749,1.761,1.858,0.0970000000000002,1.3432591870636441e-05,0.0,0.21982468028356908,False,1.6896511261257987e-45,normal,,normal,poor,7.738365237304774e-132,13.720974367770994,2.0698684193549606,1.5703895556797134,low,721
RENDERUSD,RENDER/USD,2.430015256588072,2.424,0.02782581815153198,2.36,2.489,0.129,-0.00071735936460886,0.0,0.2254000901518488,False,8.833777751040417e-38,normal,,normal,poor,2.9747415862654384e-68,14.068979222338735,2.7718935981371096,2.0881369150390348,low,721
SUPERUSD,SUPER/USD,0.39001567267683773,0.3898,0.003893750851391338,0.3802,0.3971,0.016900000000000026,-0.00012081718756275594,0.0,0.18092586119316037,False,1.2285398585946304e-46,student_t,2,fat_tails,poor,2.2744770529842162e-144,20.04760982699926,0.4682044929992368,0.31182685235443874,low,721
TONUSD,TON/USD,2.2298113730929265,2.229,0.013008776243828535,2.175,2.267,0.09200000000000008,-0.0024913358124222904,0.0,0.15231202912260516,False,1.0304481238823193e-38,student_t,2,fat_tails,poor,6.053459870936819e-66,16.877035221341647,2.606137423899302,1.8534853222865515,low,721
TRXUSD,TRX/USD,0.29627297642163664,0.296208,0.000995104759001649,0.291018,0.2982,0.007182000000000022,0.0007153683659425097,0.0,0.062055893864784696,False,1.1293110207322815e-37,normal,,normal,poor,1.1895164354965711e-28,3.873392778233334,0.3077487924942092,0.28479716034906405,low,721
WALUSD,WAL/USD,0.22420864077669903,0.2248,0.0031338160683017256,0.21821,0.22814,0.009930000000000022,0.0005988523163567333,0.0,0.2089233597515747,False,1.2104102780539682e-49,student_t,2,fat_tails,poor,7.29241919743508e-160,23.14989118981575,0.27611269715466974,0.17230458439872834,low,721
GBPUSD,GBP/USD,1.3201658391123439,1.31973,0.002118321766732468,1.31409,1.32456,0.01046999999999998,-0.00031380493463284485,0.0,0.022415139998168913,False,2.6885703266352854e-28,normal,,normal,poor,8.535751149654808e-14,1.399103872086298,1.3386363304853253,1.3016953477393625,low,721
