Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
XXBTZUSD,BTC/USD,109876.14299583911,109913.8,531.4046885994298,108780.3,111290.2,2509.899999999994,0.001096830485338809,0.0,0.058391805901831836,False,1.0859717003394173e-26,0.09604597372187447,109981.67460726752,109770.61138441072,low,721
XETHZUSD,ETH/USD,3860.0788072122054,3853.2,22.872981804540412,3811.4,3930.69,119.28999999999996,-0.0002764327414691823,0.0,0.09274170417558887,False,2.2267775223462544e-21,0.15254652848287784,3865.967223429311,3854.1903909951,low,721
SOLUSD,SOL/USD,190.40981969486825,190.56,1.254329323095909,186.76,193.46,6.700000000000017,0.0023098831491152965,0.0,0.10438411344195547,False,2.6816925890931405e-17,0.1716965875911144,190.73674685772272,190.08289253201374,low,721
XLTCZUSD,LTC/USD,93.73883495145631,93.77,0.3967223724176631,92.65,94.75,2.0999999999999943,0.0009690895294490349,0.0,0.08249708671411911,False,9.206497374592504e-25,0.13569563229464893,93.86603445624934,93.61163544666329,low,721
XXRPZUSD,XRP/USD,2.3989440776699027,2.39899,0.009635262884297165,2.37725,2.42542,0.048169999999999824,-6.300535335857974e-05,0.0,0.08016755497583036,False,1.8781930005248772e-21,0.13186389356582612,2.402107418735185,2.39578073660462,low,721
XXMRZUSD,XMR/USD,324.24676837725383,323.09,3.927067956701815,317.41,334.7,17.289999999999964,-0.0034159447888240583,0.0,0.15189053169261885,False,2.2796137619074974e-23,0.24983769195419164,325.0568590196036,323.43667773490404,low,721
AAVEUSD,AAVE/USD,223.46809986130376,223.73,2.1599051216334284,218.79,228.23,9.439999999999998,0.0023057298344638525,0.0,0.10029100048369168,False,1.587713446815221e-36,0.1649640158961921,223.83674181308186,223.09945790952563,low,721
ATOMUSD,ATOM/USD,3.1879866851595007,3.1882,0.017911022838896163,3.1393,3.2307,0.09140000000000015,0.0006711374553304608,0.0,0.07860335133921698,False,7.771785309100421e-35,0.1292910075408519,3.192108465265011,3.18386490505399,low,721
COMPUSD,COMP/USD,36.96485436893204,36.95,0.17185673017540049,36.67,37.32,0.6499999999999986,0.002056871192962377,0.0,0.08007003032059279,False,1.8446016919060967e-45,0.1317034797829414,37.01353836843262,36.916170369431455,low,721
DYDXUSD,DYDX/USD,0.3187106796116505,0.3184,0.0029242966312408364,0.3115,0.326,0.014500000000000013,0.00247315458033579,0.0,0.12440637487763309,False,2.402154210706716e-46,0.2046302769333593,0.319362858157956,0.318058501065345,low,721
EGLDUSD,EGLD/USD,9.68377253814147,9.66,0.09546042443697707,9.48,9.91,0.4299999999999997,0.0016335571374600374,0.0,0.09268314463517044,False,3.1780306494702107e-47,0.152450206610428,9.698535469383552,9.669009606899388,low,721
ENSUSD,ENS/USD,15.23754507628294,15.23,0.09255294869710469,15.09,15.49,0.40000000000000036,0.0005808144432129532,0.0,0.0807771415142749,False,8.776342695122139e-46,0.1328665741945274,15.257790680417145,15.217299472148737,low,721
FILUSD,FIL/USD,1.5553079056865464,1.555,0.0095163342716022,1.536,1.577,0.040999999999999925,0.00021967839897911288,0.0,0.08973026545503027,False,1.5950471787730718e-41,0.14759315258102493,1.557603433656891,1.5530123777162017,low,721
INJUSD,INJ/USD,8.435589459084605,8.438,0.08078822177535337,8.253,8.631,0.3780000000000001,0.001080010062640278,0.0,0.11361449569826407,False,1.609235235348691e-37,0.1868792153235521,8.451353822473658,8.419825095695552,low,721
NEARUSD,NEAR/USD,2.1947128987517335,2.194,0.018831694989270134,2.158,2.24,0.0820000000000003,0.0009606763726324065,0.0,0.11974837917790943,False,6.929973142266915e-38,0.19696855581234446,2.1990357930526323,2.1903900044508346,low,721
BONKUSD,BONK/USD,1.4405493758668516e-05,1.4425e-05,1.807162763295994e-07,1.3958e-05,1.4804e-05,8.46e-07,0.003988417408466491,0.0,0.13846132806445868,False,7.585207605998401e-37,0.22774861765934254,1.4438302071570887e-05,1.4372685445766145e-05,low,721
DOGSUSD,DOGE/USD,6.0072122052704576e-05,6e-05,7.649706360190149e-07,5.79e-05,6.45e-05,6.599999999999998e-06,-0.006806430337146204,0.0,0.28920949418931025,False,5.730769154875842e-44,0.4757072854660877,6.035788951384337e-05,5.978635459156578e-05,low,721
MEMEUSD,MEME/USD,0.0016278183079056865,0.001636,2.1185660714516764e-05,0.001579,0.001657,7.799999999999994e-05,0.0025725426992744887,0.0,0.13965571945067357,False,3.996373805136077e-48,0.2297132166629577,0.0016315576217022052,0.001624078994109168,low,721
MEWUSD,MEW/USD,0.0018464271844660194,0.001846,1.4976204606737632e-05,0.001805,0.001876,7.10000000000001e-05,0.001953532504180568,0.0,0.11317371110595785,False,1.989094675115651e-47,0.18615418918819288,0.0018498643860202124,0.0018429899829118263,low,721
PEPEUSD,PEPE/USD,6.90305547850208e-06,6.908e-06,4.672118513140712e-08,6.781e-06,7.022e-06,2.409999999999999e-07,0.0019397468997516224,0.0,0.11249223852389918,False,2.2457752999079503e-29,0.1850332665399257,6.915828427545016e-06,6.890282529459145e-06,low,721
PONKEUSD,PONKE/USD,0.06060015256588072,0.06046,0.0007813320918805487,0.05846,0.06152,0.0030600000000000002,0.0009397137727267962,0.0,0.16480447555835903,False,1.5129020420967559e-49,0.2710792393600021,0.060764426998507315,0.06043587813325413,low,721
