Pair,Pair_Name,Mean,Median,StdDev,Min,Max,Range,Pct_Mean,Pct_Median,Pct_StdDev,Normal_Distribution,Normality_PValue,Best_Fit_Distribution,Distribution_DF,Distribution_Type,Fit_Quality,Fit_PValue,Threshold_95_Pct,Threshold_Price_Up,Threshold_Price_Down,Confidence,Data_Points
ENSUSD,ENS/USD,15.655409153952844,15.66,0.19376139500392367,15.09,16.0,0.9100000000000001,-0.002737506858103136,0.0,0.17118950077901518,False,4.26217510964912e-45,student_t,2,fat_tails,poor,6.501541096112834e-132,18.968765965593327,18.625047077322233,12.685771230583455,low,721
FILUSD,FIL/USD,1.6009056865464633,1.605,0.022795576650756166,1.526,1.639,0.11299999999999999,-0.005777334877495928,0.0,0.21653552387154176,False,9.569649232188653e-39,student_t,2,fat_tails,poor,1.6495587521289146e-80,23.993362074573668,1.9850167843919957,1.216794588700931,low,721
INJUSD,INJ/USD,8.570676837725381,8.59,0.12575542678366486,8.165,8.814,0.6490000000000009,-0.004059053420240307,0.0,0.23146405309365903,False,8.712962555662113e-40,student_t,2,fat_tails,poor,8.014970416332319e-76,25.647527638093884,10.76884354845271,6.372510126998053,low,721
NEARUSD,NEAR/USD,2.2954396671289876,2.3,0.02987803042556963,2.194,2.345,0.15100000000000025,-0.003918362810957661,0.0,0.21241751544865306,False,5.255436473310367e-40,normal,,normal,poor,9.755947155966608e-84,13.258635386057783,2.5997836431005585,1.9910956911574167,low,721
BONKUSD,BONK/USD,1.4645264909847433e-05,1.4568e-05,3.1444831407610436e-07,1.3811e-05,1.5208e-05,1.3970000000000003e-06,-0.004257290311998429,0.0,0.25552885693694993,False,2.080814399327335e-35,normal,,normal,poor,1.0195304335862734e-49,15.949550758972615,1.6981118870429554e-05,1.2309410949265311e-05,low,721
DOGSUSD,DOGE/USD,5.6185991678224684e-05,5.65e-05,1.004717010980143e-06,5.26e-05,5.74e-05,4.8000000000000015e-06,-0.007225998286901589,0.0,0.27987742601262566,False,2.7390403484652522e-46,student_t,2,fat_tails,poor,1.7858095126375205e-147,31.012003475255995,7.361039337008276e-05,3.87615899863666e-05,low,721
MEMEUSD,MEME/USD,0.0016209140083217753,0.001622,2.635575702753337e-05,0.001544,0.001686,0.00014199999999999998,-0.00019640568281523407,0.0,0.2574558100154295,False,5.424320329009581e-46,normal,,normal,poor,2.58094864656968e-141,16.06982694344657,0.0018813920843611678,0.001360435932282383,low,721
MEWUSD,MEW/USD,0.0018842954230235784,0.001879,3.4663182414967365e-05,0.001794,0.00194,0.00014600000000000008,-0.0038790309951234354,0.0,0.2010338666268199,False,5.903438587000845e-44,student_t,2,fat_tails,poor,1.6102587768097186e-122,22.275690681083525,0.002304035242974125,0.0014645556030730318,low,721
PEPEUSD,PEPE/USD,7.054915395284327e-06,7.052e-06,1.0280261453057843e-07,6.721e-06,7.229e-06,5.08e-07,-0.0036269450341883604,0.0,0.22890704884508298,False,9.952300379178708e-34,normal,,normal,poor,4.185392062684585e-18,14.287875891614565,8.06291295122096e-06,6.046917839347693e-06,low,721
PONKEUSD,PONKE/USD,0.06315631067961165,0.06257,0.0011588034935559402,0.06041,0.06559,0.005179999999999997,0.0027548218448953422,0.0,0.2928004323013256,False,4.426855706576847e-47,student_t,2,fat_tails,poor,2.592376084035379e-147,32.44394574243204,0.08364670984942667,0.042665911509796636,low,721
POPCATUSD,POPCAT/USD,0.15758238557558946,0.1573,0.0034825171086781586,0.148,0.1641,0.016100000000000003,0.0008286262262231539,0.0,0.33179032199404557,False,8.969451384161261e-42,student_t,2,fat_tails,poor,1.814983979391124e-106,36.764246282125924,0.2155163619058484,0.09964840924533047,low,721
TRUMPUSD,TRUMP/USD,8.350202496532594,8.369,0.13274266267390702,7.869,8.672,0.8030000000000008,0.00021127290551058275,0.0,0.33262264061675145,False,4.0179256697949636e-24,normal,,normal,poor,5.459972613470472e-08,20.7615756345257,10.083836103486261,6.616568889578926,low,721
ATHUSD,ATH/USD,0.02827353675450763,0.02833,0.0003603329503467083,0.0271,0.02883,0.0017300000000000024,-0.003126432147914497,0.0,0.2129695363910851,False,1.528200960290388e-42,student_t,2,fat_tails,poor,3.666813011661724e-111,23.59823047102786,0.03494559112014711,0.021601482388868148,low,721
NANOUSD,NANO/USD,0.678201730929265,0.680251,0.0076472439928273244,0.65789,0.688615,0.030725000000000002,-0.0031394957331165835,0.0,0.22744690009835627,False,1.0199928184257544e-46,normal,,normal,poor,1.198422228463993e-140,14.196736609614357,0.7744842443511382,0.5819192175073917,low,721
RAYUSD,RAY/USD,1.8155104022191402,1.822,0.029901648319099524,1.725,1.858,0.133,-0.00498663378429176,0.0,0.23359166578878393,False,9.772811566030407e-45,student_t,2,fat_tails,poor,5.827652332972015e-128,25.88327917131055,2.2854240280097033,1.3455967764285772,low,721
RENDERUSD,RENDER/USD,2.4225450762829404,2.423,0.03929229471079547,2.302,2.489,0.18699999999999983,-0.0042838162351833175,0.0,0.2436325132750691,False,2.9931314623029667e-37,normal,,normal,poor,6.083654268283224e-63,15.207007081691703,2.7909416775904603,2.05414847497542,low,721
SUPERUSD,SUPER/USD,0.38911914008321774,0.3898,0.005656009079197146,0.372,0.3971,0.02510000000000001,-0.00504205926205234,0.0,0.2060625174931551,False,5.616554261729849e-46,student_t,2,fat_tails,poor,1.0261017840117269e-141,22.83289366942172,0.47796629958578696,0.3002719805806485,low,721
TONUSD,TON/USD,2.2235950069348127,2.224,0.020391097663528656,2.157,2.267,0.10999999999999988,-0.004232519307750212,0.0,0.15648594914058447,False,2.1506221342479024e-39,student_t,2,fat_tails,poor,6.3132585799141e-70,17.339529192174346,2.6091559122780055,1.8380341015916197,low,721
TRXUSD,TRX/USD,0.29630400832177534,0.296328,0.0011809765709114473,0.291018,0.2982,0.007182000000000022,-0.0008881445694687137,0.0,0.06339913985671404,False,8.934271573094312e-38,normal,,normal,poor,1.0422117768353e-33,3.9572352467000167,0.3080294549764696,0.28457856166708106,low,721
WALUSD,WAL/USD,0.22453058252427185,0.2248,0.002771179190279591,0.21821,0.22814,0.009930000000000022,0.0009259234058039632,0.0,0.20623446035647758,False,6.989701558967839e-50,student_t,2,fat_tails,poor,3.3482733986064347e-162,22.851945912222682,0.27584018979911695,0.17322097524942673,low,721
GBPUSD,GBP/USD,1.3197047018030512,1.31973,0.0015799918955873673,1.31409,1.32326,0.009170000000000122,-0.00026358109419455784,0.0,0.02108637379637492,False,2.9927662267677513e-28,normal,,normal,poor,1.6556799927632232e-14,1.3161652003590973,1.3370741958356855,1.3023352077704167,low,721
